"/* Jun Da: Modern Chinese Character Frequency List */",,,,,
"/* 笪骏现代汉语单字频率列表 */",,,,,
"/* http://lingua.mtsu.edu */",,,,,
"/* 拼音取自于http://www.mandarintools.com/cedict.html, http://www.chinese-forums.com/vocabulary/和http://sh.netsh.com/bbs/1951/。 */",,,,,
"/* 英文翻译来自于CEDICT at http://www.mandarintools.com/cedict.html */",,,,,
"序列号","汉字","频率","累计频率(%)","拼音","英文翻译"
4523,"僮",314,99.86,"tong2/zhuang4","boy, name of an ethnic group in Guangxi"
4524,"媾",314,99.86,"gou4","to marry/to copulate"
4525,"龇",314,99.86,"zi1","projecting teeth"
4526,"胯",313,99.86,"kua4","thigh/leg"
4527,"涮",313,99.86,"shuan4","rinse"
4528,"绾",313,99.86,"wan3","bind up/string together"
4529,"杈",313,99.86,"cha1/cha4","fork of a tree/pitchfork, branches of a tree/fork of a tree"
4530,"赳",313,99.86,"jiu1",
4531,"斛",313,99.86,"hu2","5 pecks (M)"
4532,"觥",313,99.86,"gong1","big/cup made of horn/horn wine container"
4533,"疸",313,99.86,"dan3/da","jaundice"
4534,"卞",312,99.86,"bian4","(surname)/hurried"
4535,"愠",312,99.86,"yun4","indignant/feel hurt"
4536,"拮",311,99.86,"jie2","antagonistic/laboring hard/pressed"
4537,"庠",311,99.86,"xiang2","asylum for the aged/school"
4538,"烨",311,99.86,"ye4","blaze of fire/glorious"
4539,"龢",311,99.86,"he2",
4540,"菠",310,99.86,"bo1","spinach"
4541,"窈",310,99.86,"yao3","deep/quiet and elegant"
4542,"罄",309,99.86,"qing4","entirely/exhausted/stern"
4543,"囤",308,99.86,"dun4/tun2","bin for grain, to store/hoard"
4544,"弁",308,99.86,"bian4","cap"
4545,"奘",308,99.86,"zang4/zhuang3","great, fat/stout"
4546,"咣",308,99.86,"guang1",
4547,"缫",308,99.86,"sao1","reel silk from cocoons"
4548,"腴",308,99.86,"yu2","fat on belly/fertile/rich"
4549,"缈",307,99.86,"miao3","indistinct"
4550,"喵",306,99.86,"miao1","meow (onomat. for cat's mewing)"
4551,"潢",306,99.86,"huang2","dye paper/lake/pond/mount scroll"
4552,"遛",306,99.86,"liu4/liu2","to stroll/walk a horse/to linger"
4553,"柚",306,99.86,"you4","pomelo/shaddock"
4554,"郏",305,99.86,"jia2","name of a district in Henan"
4555,"荻",305,99.87,"di2","Anaphalis yedoensis"
4556,"藜",305,99.87,"li2","Chenopodium album"
4557,"琨",305,99.87,"kun1","(jade)"
4558,"镳",304,99.87,"biao1","darts/escort/horsebit"
4559,"雉",303,99.87,"zhi4","ringed pheasant"
4560,"橐",302,99.87,"tuo2","sack/tube for blowing fire"
4561,"陽",302,99.87,"yang2",
4562,"骈",301,99.87,"pian2","literary style"
4563,"蛉",301,99.87,"ling2","sandfly"
4564,"艮",301,99.87,"gen4","a sign in trigram"
4565,"搽",300,99.87,"cha2","apply (ointment, powder)/smear/paint on"
4566,"濡",300,99.87,"ru2","dilatory/to moisten"
4567,"寮",300,99.87,"liao2","Laos/fellow-official/hut"
4568,"柩",300,99.87,"jiu4","bier"
4569,"佗",299,99.87,"tuo2","carry on the back"
4570,"啷",299,99.87,"lang1",
4571,"诜",298,99.87,"shen1","inform/inquire"
4572,"視",298,99.87,"shi4",
4573,"偻",297,99.87,"lou2/lv3","hunchback"
4574,"夯",296,99.87,"hang1/ben4","drive piles"
4575,"闱",296,99.87,"wei2","door to women's room/gate to palace"
4576,"谖",295,99.87,"xuan1","Hemerocallis flava/false/forget"
4577,"夥",295,99.87,"huo3","assistant/partner/many/great/numerous"
4578,"枸",295,99.87,"gou1/gou3/ju3","Acgle sepiaria, Lycium chinense, Citrus medica"
4579,"膑",295,99.87,"bin4","kneecap/patella"
4580,"虻",295,99.87,"meng2","Tabanus trigonus/house fly"
4581,"筠",295,99.87,"yun2/jun1","skin of bamboo"
4582,"埽",294,99.87,"sao4","broom/dike"
4583,"笞",294,99.87,"chi1","to whip with bamboo strips"
4584,"臾",294,99.87,"yu2","(surname)/a moment/little while"
4585,"婀",293,99.87,"e1","graceful/willowy/unstable"
4586,"珞",292,99.87,"luo4","neck-ornament"
4587,"粑",292,99.87,"ba1","tsamba (food in Tibet)"
4588,"怵",291,99.87,"chu4","fearful/timid/to fear"
4589,"绻",291,99.87,"quan3","bound in a league"
4590,"殒",291,99.87,"yun3","perish/die"
4591,"觊",291,99.87,"ji4","covet/long for"
4592,"崂",291,99.87,"lao2","name of a mountain in Shandong"
4593,"颧",290,99.87,"quan2","cheek bones"
4594,"嗑",290,99.87,"ke4/ke1","to crack (seeds) with front teeth"
4595,"榛",290,99.87,"zhen1","hazel tree/Corylus heterophylla"
4596,"昱",290,99.87,"yu4","bright light"
4597,"蜴",289,99.87,"yi4","chameleon/Eumeces latiscutatus"
4598,"鳝",289,99.87,"shan4","Chinese yellow eel"
4599,"噙",288,99.87,"qin2","hold in the mouth"
4600,"淼",288,99.87,"miao3","a flood/infinity"
4601,"矾",287,99.87,"fan2","alum"
4602,"硼",287,99.87,"peng2","boron"
4603,"囿",287,99.87,"you4","park/to limit/be limited to"
4604,"泅",286,99.87,"qiu2","submerge/swim under water"
4605,"邂",286,99.87,"xie4","meet unexpectedly"
4606,"钜",286,99.87,"ju4","great/hard iron"
4607,"蠹",286,99.87,"du4","bookworm/Lepisma saccharina"
4608,"垩",285,99.87,"e4","to whitewash/to plaster"
4609,"乩",283,99.87,"ji1","to divine"
4610,"嗝",283,99.87,"ge2","hiccup/belch"
4611,"淦",283,99.87,"gan4","name of a river"
4612,"樽",282,99.87,"zun1","goblet/bottle/wine-jar"
4613,"诮",280,99.87,"qiao4","ridicule/to blame"
4614,"揆",279,99.87,"kui2","consider/estimate"
4615,"啐",279,99.87,"cui4","sip/spit"
4616,"淅",279,99.87,"xi1","sound of rain/sleet etc."
4617,"榉",279,99.87,"ju3","Zeikowa acuminata"
4618,"馗",278,99.87,"kui2","cheekbone/crossroads/high"
4619,"辔",278,99.87,"pei4","bridle/reins"
4620,"暹",278,99.87,"xian1","Siam"
4621,"骛",278,99.88,"wu4","fast/greedy/run rapidly"
4622,"鱿",278,99.88,"you2","cuttlefish"
4623,"苫",277,99.88,"shan1","straw mat/thatch"
4624,"犷",277,99.88,"guang3",
4625,"獠",277,99.88,"liao2","fierce/hunt/name of a tribe"
4626,"詈",277,99.88,"li4","curse/scold"
4627,"竦",277,99.88,"song3","horrified/incite/raise"
4628,"篙",276,99.88,"gao1","pole for punting boats"
4629,"诨",276,99.88,"hun4","jest/nickname"
4630,"铰",275,99.88,"jiao3","scissors/to cut (with scissors)"
4631,"馄",275,99.88,"hun2","Chinese ravioli"
4632,"蜚",275,99.88,"fei3/fei1","gad-fly"
4633,"峒",275,99.88,"tong2/dong4","name of a mountain"
4634,"滢",275,99.88,"ying2","clear/limpid (of water)"
4635,"琬",274,99.88,"wan3","ensign of royalty"
4636,"靓",274,99.88,"jing4/liang4","make up (face)"
4637,"狻",273,99.88,"suan1","(mythical animal)"
4638,"璨",273,99.88,"can4","gem/luster of gem"
4639,"犟",273,99.88,"jiang4",
4640,"鸬",272,99.88,"lu2","fishing cormorant"
4641,"螨",272,99.88,"man3",
4642,"芩",271,99.88,"qin2","Phragmites japonica"
4643,"嘹",271,99.88,"liao2","clear sound/cry (of cranes etc.)"
4644,"锟",271,99.88,"kun1","steel sword"
4645,"蜇",271,99.88,"zhe1/zhe2","to sting, jellyfish"
4646,"洹",270,99.88,"huan2","name of a river"
4647,"栉",270,99.88,"zhi4",
4648,"俪",269,99.88,"li4","husband and wife"
4649,"钍",269,99.88,"tu3","thorium"
4650,"锨",268,99.88,"xian1",
4651,"瑁",268,99.88,"mao4","(jade)"
4652,"壹",267,99.88,"yi1","one (alternate form of 一 used on checks)"
4653,"痿",267,99.88,"wei3","atrophy"
4654,"竑",267,99.88,"hong2",
4655,"粕",266,99.88,"po4","grains in distilled liquor"
4656,"犄",266,99.88,"ji1","ox-horns/wing of an army"
4657,"瘙",266,99.88,"sao4",
4658,"饯",265,99.88,"jian4","farewell dinner/preserves"
4659,"抟",265,99.88,"tuan2","roll round with hand"
4660,"衲",265,99.88,"na4","cassock/to line"
4661,"踮",264,99.88,"dian3","tip toe"
4662,"龅",264,99.88,"pao2/bao1","projecting teeth"
4663,"愎",262,99.88,"bi4","perverse/obstinate"
4664,"馥",262,99.88,"fu4",
4665,"梏",261,99.88,"gu4","braces (med.)/fetters/manacles"
4666,"讣",260,99.88,"fu4","obituary notice"
4667,"邝",260,99.88,"kuang4","(surname)"
4668,"艿",260,99.88,"nai3",
4669,"趺",260,99.88,"fu1","instep/tarsus"
4670,"鲟",260,99.88,"xun2","acipenser sp./sturgeon"
4671,"剜",259,99.88,"wan1","scoop out"
4672,"绉",259,99.88,"zhou4","crepe/wrinkle"
4673,"罅",259,99.88,"xia4","crack/grudge"
4674,"笥",259,99.88,"si4","hamper/trunk"
4675,"衩",258,99.88,"cha3/cha4","open seam of a garment/shorts/panties, slit on either side of robe"
4676,"姣",257,99.88,"jiao1","(surname)/cunning/pretty"
4677,"斫",257,99.88,"zhuo2","chop/carve wood"
4678,"鹗",257,99.88,"e4","fish eagle/fish hawk/osprey"
4679,"腎",257,99.88,"shen4",
4680,"爻",256,99.88,"yao2","lines on a trigram"
4681,"猕",256,99.88,"mi2","macaque"
4682,"晗",256,99.88,"han2",
4683,"铩",256,99.88,"sha1","spear"
4684,"窕",256,99.88,"tiao3","quiet and elegant"
4685,"仨",255,99.88,"sa1","three (of)"
4686,"搡",255,99.88,"sang3","push back/push over"
4687,"崴",255,99.88,"wei1/wai3","high, lofty/precipitous"
4688,"酢",255,99.88,"zuo4","toast to host by guest"
4689,"檄",254,99.88,"xi2","dispatch/order"
4690,"佞",254,99.88,"ning4","eloquent/talent"
4691,"孑",254,99.88,"jie2","alone/mosquito larvae/small"
4692,"璀",254,99.88,"cui3","luster of gems"
4693,"岷",253,99.88,"min2","name of a river in Sichuan"
4694,"舛",253,99.89,"chuan3","mistaken/erroneous/contradictory"
4695,"邕",253,99.89,"yong1","harmonious"
4696,"闿",253,99.89,"kai3",
4697,"铂",252,99.89,"bo2","platinum"
4698,"霁",252,99.89,"ji4","sky clearing up"
4699,"犒",251,99.89,"kao4","give a bonus to"
4700,"馏",250,99.89,"liu4/liu2","reheat by steaming"
4701,"阈",250,99.89,"yu4","threshold"
4702,"麋",250,99.89,"mi2","(surname)/moose/river bank"
4703,"麒",250,99.89,"qi2","mythical unicorn"
4704,"苁",249,99.89,"cong1","Boschniakia glabra"
4705,"摁",249,99.89,"en4","to press (with finger)"
4706,"涔",249,99.89,"cen2","overflow/rainwater/tearful"
4707,"宥",249,99.89,"you4","forgive/help/profound"
4708,"妍",249,99.89,"yan2","beautiful"
4709,"铤",249,99.89,"ding4/ting3","ingot, big arrow/walk fast"
4710,"锷",249,99.89,"e4","blade edge/sharp"
4711,"嗲",248,99.89,"dia3",
4712,"恽",248,99.89,"yun4","(surname)"
4713,"麂",248,99.89,"ji3","Moschus chinensis"
4714,"赝",247,99.89,"yan4",FALSE
4715,"胛",247,99.89,"jia3","shoulder blade"
4716,"哂",246,99.89,"shen3","smile"
4717,"撷",245,99.89,"xie2","collect"
4718,"呶",245,99.89,"nao2","clamor"
4719,"噘",245,99.89,"jue1","pout"
4720,"懔",245,99.89,"lin3","fear"
4721,"栎",245,99.89,"li4","oak/Quercus serrata"
4722,"桎",245,99.89,"zhi4","fetters"
4723,"霰",245,99.89,"xian4","sleet"
4724,"飨",245,99.89,"xiang3","offer or enjoy sacrifice"
4725,"揄",244,99.89,"yu2","draw out/let hanging"
4726,"噔",244,99.89,"deng1",
4727,"娣",244,99.89,"di4","wife of a younger brother"
4728,"薏",243,99.89,"yi4","Coix lacryma"
4729,"忝",243,99.89,"tian3","to shame"
4730,"咤",243,99.89,"zha4",
4731,"嗵",242,99.89,"tong1",
4732,"迤",242,99.89,"yi2/yi3","winding, extending to"
4733,"贲",242,99.89,"ben1/bi4","energetic, bright"
4734,"胪",242,99.89,"lu2","belly/skin/to state"
4735,"鍪",242,99.89,"mou2","iron pot/metal cap"
4736,"泸",242,99.89,"lu2","name of a river/place name"
4737,"蔫",241,99.89,"nian1","fade/wither"
4738,"刈",241,99.89,"yi4","mow"
4739,"僖",241,99.89,"xi1","(surname)/cautious/merry/joyful"
4740,"咿",241,99.89,"yi1","(onomat.)"
4741,"鹌",241,99.89,"an1","quail"
4742,"嗪",240,99.89,"qin2",
4743,"茏",239,99.89,"long2","Polygonum posumbu"
4744,"茯",239,99.89,"fu2","Pachyma cocos/china root"
4745,"岫",239,99.89,"xiu4","cave/mountain peak"
4746,"嵘",239,99.89,"rong2","lofty"
4747,"轱",239,99.89,"gu1",
4748,"怼",239,99.89,"dui4","dislike/hate"
4749,"铨",239,99.89,"quan2","estimate/select"
4750,"昕",237,99.89,"xin1","dawn"
4751,"郢",236,99.89,"ying3","name of an ancient city"
4752,"咩",236,99.89,"mie1","the bleating of sheep"
4753,"馊",236,99.89,"sou1","rancid/soured (as food)"
4754,"髡",236,99.89,"kun1","make the head bald"
4755,"澧",236,99.89,"li3","(surname)/name of a river"
4756,"苣",235,99.89,"ju4","(lettuce)"
4757,"濯",235,99.89,"zhuo2","rinse/to cleanse"
4758,"盥",235,99.89,"guan4","wash (especially hands)"
4759,"囡",234,99.89,"nan1","one's daughter/to filch/to secrete"
4760,"砺",234,99.89,"li4","grind/sandstone"
4761,"佘",233,99.89,"she2","(surname)"
4762,"谶",233,99.89,"chen4","prophecy/omen"
4763,"弑",233,99.89,"shi4","murder a superior"
4764,"楂",233,99.89,"cha2/zha1","fell trees/raft/to hew, Chinese quince/hawthorn"
4765,"翦",233,99.89,"jian3","cut with scissors/scissors"
4766,"怩",232,99.89,"ni2","shy, timid, bashful/look ashame"
4767,"蠼",232,99.89,"qu2",
4768,"霏",232,99.89,"fei1","fall of snow"
4769,"楹",232,99.89,"ying2","pillar"
4770,"讴",231,99.89,"ou1","sing ballads/songs"
4771,"锲",231,99.89,"qie4","cut/to carve"
4772,"慵",230,99.89,"yong1","careless"
4773,"胝",230,99.89,"zhi1","callous"
4774,"砭",230,99.89,"bian1","a stone probe/acupuncture"
4775,"潍",229,99.9,"wei2","name of a river"
4776,"杵",229,99.9,"chu3","pestle/to poke"
4777,"樾",229,99.9,"yue4","shade of trees"
4778,"帼",228,99.9,"guo2","cap worn by women/feminine"
4779,"碣",228,99.9,"jie2","stone tablet"
4780,"诌",227,99.9,"zou1/zhou1","make up (a story)"
4781,"徕",227,99.9,"lai2","to come"
4782,"胴",227,99.9,"dong4","large intestine/torso"
4783,"钴",227,99.9,"gu3","cobalt"
4784,"裟",227,99.9,"sha1","Buddhist monk's robe"
4785,"啶",227,99.9,"ding4","Err:508"
4786,"铣",226,99.9,"xian3/xi3","shining metal"
4787,"铱",226,99.9,"yi1","iridium"
4788,"楫",226,99.9,"ji2","oar/to row"
4789,"赭",226,99.9,"zhe3","ocher"
4790,"碛",225,99.9,"qi4","moraine/rocks in shallow water"
4791,"酊",225,99.9,"ding3","intoxicated"
4792,"魑",225,99.9,"chi1","mountain elf"
4793,"醛",225,99.9,"quan2","aldehyde"
4794,"剐",224,99.9,"gua3","cut off the flesh as punishment"
4795,"畦",224,99.9,"qi2","furrow/small plot of farm land"
4796,"陂",224,99.9,"pi2/po1/bei1","reservoir, rugged/uneven"
4797,"闶",224,99.9,"kang1",
4798,"阄",224,99.9,"jiu1","(draw) lots/lot (in a game of chance)"
4799,"祚",223,99.9,"zuo4","blessing/the throne"
4800,"鹘",223,99.9,"hu2/gu3","falcon/migratory bird"
4801,"泱",222,99.9,"yang1","agitated (wind, cloud)/boundless"
4802,"趄",222,99.9,"ju1/qie4","hesitate/mark time, recline"
4803,"骅",222,99.9,"hua2","chestnut horse"
4804,"陲",222,99.9,"chui2","frontier"
4805,"郧",221,99.9,"yun2","name of a feudal state"
4806,"倜",221,99.9,"ti4","energetic/exalted/magnanimous"
4807,"呤",221,99.9,"ling2/ling4","purine in chem. compound/whisper"
4808,"燧",221,99.9,"sui4","fire/speculum"
4809,"铉",221,99.9,"xuan4","stand for bronze tripod (archeol.)/used in names, e.g. 卢武铉 President Loh Roh Mu-hyun of South Korea"
4810,"粲",220,99.9,"can4","beautiful/bright/splendid/smilingly"
4811,"骶",220,99.9,"di3",
4812,"峁",219,99.9,"mao3",
4813,"忸",219,99.9,"niu3","accustomed to/blush/be shy"
4814,"渌",219,99.9,"lu4","clear (water)/strain liquids"
4815,"骞",219,99.9,"qian1","defective/raise"
4816,"髭",219,99.9,"zi1","mustache"
4817,"戡",219,99.9,"kan1","kill/suppress"
4818,"钨",218,99.9,"wu1","tungsten"
4819,"谲",218,99.9,"jue2","deceitful"
4820,"苋",218,99.9,"xian4","Amarantus mangostanus"
4821,"锃",218,99.9,"zeng4",
4822,"蜊",218,99.9,"li2","clam"
4823,"幄",217,99.9,"wo4","tent"
4824,"闼",217,99.9,"ta4","door of an inner room"
4825,"戕",217,99.9,"qiang1",
4826,"骊",217,99.9,"li2","black horse/good horse"
4827,"虢",217,99.9,"guo2","name of an ancient state"
4828,"烩",216,99.9,"hui4","cooked in soy and vinegar"
4829,"傥",216,99.9,"tang3","if/unexpectedly"
4830,"妲",216,99.9,"da2","concubine of last Shang emperor"
4831,"绌",216,99.9,"chu4","crimson silk/deficiency/to stitch"
4832,"桠",216,99.9,"ya1","forking branch"
4833,"袈",216,99.9,"jia1","Buddhist monk's robe"
4834,"鎗",216,99.9,"qiang1",
4835,"薮",215,99.9,"sou3","marsh/place of concourse"
4836,"揿",215,99.9,"qin4","to press (bell)"
4837,"杲",215,99.9,"gao3","high/sun shines brightly/to shine"
4838,"肓",215,99.9,"huang1","region between heart and diaphragm"
4839,"厝",214,99.9,"cuo4","bury/to place/dispose"
4840,"莅",214,99.9,"li4","attend (official functions)"
4841,"氤",214,99.9,"yin1","generative forces/magic emanation"
4842,"缙",214,99.9,"jin4","red silk"
4843,"衮",213,99.9,"gun3","imperial robe"
4844,"诟",213,99.9,"gou4","sense of shame/to abuse"
4845,"旖",213,99.9,"yi3","fluttering of flag"
4846,"硒",213,99.9,"xi1","selenium"
4847,"唁",212,99.9,"yan4","condole with"
4848,"嬗",212,99.9,"shan4","changes and succession"
4849,"硎",212,99.9,"xing2","whetstone"
4850,"裱",212,99.9,"biao3","hang (paper)/mount (painting)"
4851,"颦",212,99.9,"pin2","knit the brows"
4852,"質",212,99.9,"zhi4",
4853,"靥",211,99.9,"ye4","dimple"
4854,"纥",211,99.9,"ge1/he2","knot, tassels"
4855,"煨",211,99.9,"wei1","simmer/to roast in ashes"
4856,"礴",211,99.9,"bo2","fill/extend"
4857,"鏖",211,99.9,"ao2","violent fighting"
4858,"蝈",210,99.9,"guo1","cyrtophyllus sp."
4859,"笏",210,99.9,"hu4","tablet held at an audience"
4860,"羿",210,99.9,"yi4","name of a famous archer"
4861,"鼐",209,99.9,"nai4","incense tripod"
4862,"湟",209,99.9,"huang2","name of a river"
4863,"甑",209,99.91,"zeng4","caldron/rice pot"
4864,"炜",209,99.91,"wei3","glow/raging fire"
4865,"煲",209,99.91,"bao1","pot or saucepan/to boil/cook or heat"
4866,"锉",209,99.91,"cuo4","to file, a file (tool for shaping metal)/to file"
4867,"笕",209,99.91,"jian3","bamboo water pipe"
4868,"喑",208,99.91,"yin1","dumb"
4869,"嶂",208,99.91,"zhang4","cliff/range of peaks"
4870,"浔",208,99.91,"xun2","name of a river/steep bank"
4871,"弭",208,99.91,"mi3","to stop/repress"
4872,"妪",208,99.91,"yu4","brood over/old woman/protect"
4873,"锂",208,99.91,"li3","lithium"
4874,"苡",207,99.91,"yi3","plantago major l. var. asiatica"
4875,"孳",207,99.91,"zi1","industrious/produce/bear"
4876,"颏",207,99.91,"ke1/ke2","chin, chin"
4877,"醴",207,99.91,"li3","sweet wine"
4878,"間",207,99.91,"jian1",
4879,"渚",206,99.91,"zhu3","islet/bank"
4880,"轭",206,99.91,"e4","restrain/yoke"
4881,"鹬",206,99.91,"yu4","common snipe"
4882,"蚝",206,99.91,"hao2",
4883,"黃",206,99.91,"huang2",
4884,"膘",205,99.91,"biao1","fat of a stock animal"
4885,"邛",205,99.91,"qiong2","mound/place name"
4886,"痨",205,99.91,"lao2","tuberculosis"
4887,"褡",205,99.91,"da1","cummerbund"
4888,"耦",205,99.91,"ou3","pair/mate/ploughshare"
4889,"覃",205,99.91,"tan2","(surname)/deep"
4890,"虛",205,99.91,"xu1",
4891,"馔",204,99.91,"zhuan4","food/delicacies"
4892,"篾",204,99.91,"mie4","bamboo splints for baskets"
4893,"兖",203,99.91,"yan3","place name"
4894,"阋",203,99.91,"xi4",
4895,"遨",203,99.91,"ao2","make excursion/ramble/travel"
4896,"爰",203,99.91,"yuan2","therefore/to lead on to"
4897,"痂",203,99.91,"jia1","scab"
4898,"艄",203,99.91,"shao1","stern of boat"
4899,"耨",203,99.91,"nou4","hoe"
4900,"沤",202,99.91,"ou1/ou4","bubble/froth, steep"
4901,"邋",202,99.91,"la1",
4902,"焓",202,99.91,"han2",
4903,"秣",202,99.91,"mo4","feed a horse with grain/horse feed"
4904,"昶",202,99.91,"chang3","bright/long day"
4905,"種",202,99.91,"zhong3",
4906,"變",202,99.91,"bian4",
4907,"窣",200,99.91,"su1",
4908,"绦",200,99.91,"tao1","braid/cord/sash"
4909,"俎",200,99.91,"zu3","a stand for food at sacrifice"
4910,"榫",199,99.91,"sun3","tenon and mortise"
4911,"蟪",199,99.91,"hui4","(cicada)/Platypleura kaempferi"
4912,"稗",198,99.91,"bai4","millet/Panicum crus"
4913,"謇",198,99.91,"jian3","speak out boldly"
4914,"氩",198,99.91,"ya4","argonium"
4915,"類",198,99.91,"lei4",
4916,"锴",198,99.91,"kai3","high quality iron"
4917,"龉",198,99.91,"yu3","irregular teeth"
4918,"烃",198,99.91,"ting1","hydrocarbon"
4919,"俣",197,99.91,"yu3","big"
4920,"嬷",197,99.91,"ma1/mo2","ma/mamma"
4921,"肱",197,99.91,"gong1","brachium/humerus"
4922,"鸢",197,99.91,"yuan1","kite"
4923,"笫",197,99.91,"zi3","planks of bed/sleeping-mat"
4924,"痤",197,99.91,"cuo2","acne"
4925,"陰",197,99.91,"yin1",
4926,"菏",196,99.91,"he2",
4927,"莆",196,99.91,"pu2","place name"
4928,"芨",196,99.91,"ji2/ji1","Bletilla hyacinthina (mucilaginous)/Acronym for the Chinese Elder tree ?草"
4929,"阕",196,99.91,"que4","section of a song/shut"
4930,"砣",196,99.91,"tuo2","steelyard weight"
4931,"碜",196,99.91,"chen3",
4932,"鼹",196,99.91,"yan3","mole"
4933,"長",196,99.91,"chang2",
4934,"猷",195,99.91,"you2","consult with/to scheme"
4935,"竽",195,99.91,"yu2","(mus. instr.)"
4936,"舸",195,99.91,"ge3","barge"
4937,"诓",194,99.91,"kuang1","mislead/to swindle"
4938,"錾",194,99.91,"zan4","engrave"
4939,"淬",193,99.91,"cui4","dip into water/to temper"
4940,"隗",193,99.91,"wei3","(surname)/eminent/lofty"
4941,"悌",193,99.91,"ti4","do one's duty as a younger brother"
4942,"姘",193,99.91,"pin1","be a mistress or lover"
4943,"槭",193,99.91,"qi4",
4944,"邈",193,99.91,"miao3","profound/remote"
4945,"婕",193,99.91,"jie2","handsome"
4946,"歙",192,99.91,"she4/xi1","name of a district in Anhui"
4947,"稹",192,99.91,"zhen3","accumulate/fine and close"
4948,"蹴",192,99.91,"cu4","carefully/kick/tread on/stamp"
4949,"砒",191,99.91,"pi1","arsenic"
4950,"痈",191,99.91,"yong1","carbuncle"
4951,"镏",191,99.91,"liu2","lutecium"
4952,"羯",191,99.91,"jie2","castrate a ram/deer's skin"
4953,"豕",191,99.91,"shi3","hog/swine"
4954,"鲂",191,99.91,"fang2","bream/Zeus japanicus"
4955,"蓖",190,99.91,"bi4","the castor-oil plant"
4956,"匦",190,99.91,"gui3","small box"
4957,"笤",190,99.91,"tiao2","broom"
4958,"峥",189,99.91,"zheng1","excel/lofty"
4959,"徭",189,99.91,"yao2","compulsory service"
4960,"浃",189,99.92,"jia1",
4961,"烊",189,99.92,"yang2","molten/smelt"
4962,"補",189,99.92,"bu3",
4963,"窸",188,99.92,"xi1",
4964,"酆",188,99.92,"feng1","(surname)/name of an ancient city"
4965,"缢",188,99.92,"yi4","hang/strangle oneself"
4966,"褓",188,99.92,"bao3","cloth for carrying baby on back"
4967,"蚨",188,99.92,"fu2","(water-beetle)/money"
4968,"翳",188,99.92,"yi4","feather screen/to screen/to shade"
4969,"趔",188,99.92,"lie4","stumble"
4970,"炔",187,99.92,"que1/gui4","alkyne"
4971,"誊",187,99.92,"teng2","make a (clean) copy"
4972,"赜",187,99.92,"ze2","mysterious"
4973,"仃",187,99.92,"ding1","alone"
4974,"勖",187,99.92,"xu4","exhort/stimulate"
4975,"葺",187,99.92,"qi4","to repair"
4976,"蚴",187,99.92,"you4","larva"
4977,"泷",187,99.92,"long2/shuang1","torrential (rain), name of a river in Guangdong"
4978,"蛴",187,99.92,"qi2","larva/maggot"
4979,"結",187,99.92,"jie2",
4980,"媸",186,99.92,"chi1","ugly woman"
4981,"俳",185,99.92,"pai2","irresolute/not serious/variety show"
4982,"诖",185,99.92,"gua4","deceive/disturb"
4983,"茑",185,99.92,"niao3","grossulariaceae"
4984,"逡",185,99.92,"qun1","shrink from"
4985,"孱",185,99.92,"can4/chan2","dodger, coward/weak"
4986,"砦",185,99.92,"zhai4","stronghold/stockade"
4987,"跸",185,99.92,"bi4","to clear streets when emperor tours"
4988,"祜",185,99.92,"hu4","celestial blessing"
4989,"伉",184,99.92,"kang4","husband/wife"
4990,"溴",184,99.92,"xiu4","bromine"
4991,"屐",184,99.92,"ji1","clogs"
4992,"飚",184,99.92,"biao1",
4993,"蛞",184,99.92,"kuo4",
4994,"鏡",184,99.92,"jing4",
4995,"掮",183,99.92,"qian2","carry on shoulders"
4996,"崆",183,99.92,"kong1","name of a mountain"
4997,"庾",183,99.92,"yu3","(surname)/name of a mountain"
4998,"橛",183,99.92,"jue2","a peg/low post"
4999,"矸",183,99.92,"gan1",
5000,"鸨",183,99.92,"bao3","Chinese bustard/procuress"
5001,"圻",183,99.92,"qi2","boundary/a border"
5002,"缂",183,99.92,"ke4","to woof"
5003,"蒯",183,99.92,"kuai3","a rush/scirpus cyperinus"
5004,"诹",182,99.92,"zou1","choose/consult"
5005,"啭",182,99.92,"zhuan4","sing, chirp, warble, twitter"
5006,"饧",182,99.92,"xing2/tang2","malt-sugar/molasses"
5007,"镉",182,99.92,"ge2","cadmium"
5008,"鸪",182,99.92,"gu1","partridge/Francolinus chinensis"
5009,"蛩",182,99.92,"qiong2","anxious/grasshopper/a cricket"
5010,"蠖",182,99.92,"huo4","looper caterpillar"
5011,"說",182,99.92,"shuo1",
5012,"劭",181,99.92,"shao4","(surname)/stimulate to effort"
5013,"哐",181,99.92,"kuang1",
5014,"崧",181,99.92,"song1","lofty/name of a mountain in Henan"
5015,"杼",181,99.92,"zhu4","shuttle of a loom"
5016,"棂",181,99.92,"ling2","lattice, the lattice of a window a sill, a lintel"
5017,"螫",181,99.92,"shi4/zhe1","to sting, to sting"
5018,"龃",181,99.92,"ju3","irregular/uneven teeth"
5019,"饔",181,99.92,"yong1","dressed food/first meal of the day"
5020,"遑",181,99.92,"huang2","leisure"
5021,"颢",181,99.92,"hao4","bright/white"
5022,"腱",180,99.92,"jian4","gristle"
5023,"襁",180,99.92,"qiang3","cloth for carrying baby on back"
5024,"忾",179,99.92,"kai4","anger"
5025,"濠",179,99.92,"hao2","trench"
5026,"牝",179,99.92,"pin4","female"
5027,"蛄",179,99.92,"gu1","mole-cricket"
5028,"鲆",179,99.92,"ping2",
